Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:74zQNNfQI2sEsreJCJtndS,"We Are (One Piece)","We Are (One Piece)","Miura Jam",2021-09-23,239008,52,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-17T15:10:44Z,"anime","738190 Records DK",0.387,0.881,6,-4.296,1,0.0855,0.00549,0,0.0875,0.663,83.493,4
spotify:track:5Wg6U4mLyjJj8ApPkWHBKB,"Believe","HYPER GROOVE 1","Folder 5",2001-07-25,226700,57,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","avex tune",0.55,0.996,7,-2.394,1,0.0575,0.0107,0.0865,0.225,0.718,154.984,4
spotify:track:1lZeqR3QZExwywt1Fwh90J,"ヒカリへ","ヒカリヘ","The BabyStars",2002,224626,50,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","Sony Music Direct (Japan) Inc.",0.392,0.899,0,-3.043,1,0.0433,0.00362,0,0.172,0.655,94.215,4
spotify:track:60YLtFVNTYVeOpzzV4xxWd,"BON VOYAGE! (第169-206話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.1","Mika Ogawa",2015-11-12,270222,45,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","fyto inc.",0.578,0.87,0,-4.694,1,0.0393,0.00089,0.00245,0.45,0.464,134.986,4
spotify:track:281YQGSeSsRpPgKjWEnyDp,"ココロのちず","ココロのちず","BOYSTYLE",2004-11-17,263026,45,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","インペリアルレコード",0.54,0.913,1,-1.573,1,0.0366,0.00989,0,0.208,0.734,132.109,4
spotify:track:1mV4Ti0I8kZF3Dd72qPEW5,"Brand New World","Mitsuyoko Ichimura (Standard Edition)","D-51",2017-11-01,258440,57,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime,j-pop","PONY CANYON INC.",0.568,0.98,1,-4.368,1,0.151,0.00131,0.0000014,0.436,0.65,160.1,4
spotify:track:1sdJE2c51WYOWChe7Us0sf,"ウィーアー!","777 ～TRIPLE SEVEN～","AAA",2012-08-22,247893,44,false,317kmoidvs7xjhbf3wvuqd3r24g4,2024-02-28T09:14:22Z,"j-pop,anime","avex trax",0.44,0.947,9,-3.438,1,0.088,0.00615,0,0.133,0.448,160.026,4
spotify:track:1VuHVQinEyscquyANMOtmo,"Crazy Rainbow (第284-325話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.1","Super DJ Yuuki",2015-11-12,218446,46,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","fyto inc.",0.403,0.867,7,-3.881,1,0.0469,0.00654,0.0000996,0.78,0.684,190.155,4
spotify:track:7acjxFn1oZOn8QAv43DOcN,"Jungle P (第326-372話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.1","Yuuki Okamoto",2015-11-12,195310,45,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","fyto inc.",0.593,0.937,6,-1.707,1,0.0797,0.0774,0,0.359,0.89,144.982,4
spotify:track:6C0UN76mCgUIVFOotOnx3W,"ウィーアー! (第1-47話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.1","Hisao Noguchi",2015-11-12,216428,39,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","fyto inc.",0.567,0.908,9,-3.277,1,0.0875,0.00773,0.000025,0.0807,0.451,167.995,4
spotify:track:2lEjJCt6iFfYuK4RC592TF,"Share The World （第395話〜425話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.2","Muray",2015-11-12,206750,45,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","fyto inc.",0.766,0.787,1,-5.987,1,0.0466,0.113,0,0.251,0.577,120.055,4
spotify:track:1iGJUdyHTLPb90RQmOBXzF,"風をさがして （第426話〜458話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.2","Reiko Nakanishi",2015-11-12,248354,43,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","fyto inc.",0.599,0.856,11,-4.21,1,0.0352,0.0697,0.0000755,0.131,0.699,157.892,4
spotify:track:2OrM9Dz171ht7Rd1xZjPxB,"One day （第459話〜492話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.2","Muray",2015-11-12,258876,44,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","fyto inc.",0.435,0.781,11,-4.99,1,0.0314,0.00861,0,0.0825,0.236,177.991,4
spotify:track:0MbNjIgSvscJtLrzqihbeG,"Fight Together （第493話〜516話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.2","Mami",2015-11-12,260930,45,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:35Z,"anime","fyto inc.",0.731,0.897,2,-5.125,1,0.0304,0.0511,0.00000807,0.131,0.649,128.987,4
spotify:track:2hnz0zFFlrf95nCc5OfZzc,"We Go! (One Piece)","We Go! (One Piece)","Miura Jam",2023-01-23,244679,44,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-17T15:11:28Z,"anime","738190 Records DK",0.467,0.925,7,-4.431,1,0.104,0.0262,0,0.135,0.472,177.103,4
spotify:track:7dWP7n6ETOqEx1m5tnkklK,"Hands Up! - Kota Shinzato - From anime ""One Piece""","REi #2 -Haneda International Music Festival Presents-","REI",2018-10-31,253384,43,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","HAF RECORDS",0.645,0.825,4,-4.555,1,0.0366,0.0124,0,0.404,0.513,130.077,4
spotify:track:0VceVcynDIJPRKl8aVjvrS,"Wake up!","Wake up!","AAA",2014-07-02,225786,50,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"j-pop,anime","avex trax",0.445,0.947,1,-1.97,1,0.0746,0.0219,0,0.328,0.688,176.146,4
spotify:track:3TKn9Pimpg49NboyPo0Hhl,"Hard Knock Days","Hard Knock Days","GENERATIONS from EXILE TRIBE",2015-08-12,272773,50,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"j-pop,anime","rhythm zone",0.559,0.936,6,-3.749,1,0.0874,0.0139,0,0.33,0.717,92.024,4
spotify:track:1CK2IQctMHvr1oBViumRwu,"We Can (From ""One Piece"")","Covers, Vol. 25","PelleK",2016-09-12,150666,0,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","PelleK",0.49,0.958,7,-5.165,1,0.182,0.000343,0.00282,0.359,0.561,179.954,4
spotify:track:0nhWoroqMZR9f2kfMn9zUM,"Hope (From ""One Piece"")","Hope (From ""One Piece"")","Akano;AndrezoWorks",2018-09-06,153544,51,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:51Z,"anime","Akano",0.581,0.696,4,-4.234,0,0.0353,0.056,0,0.46,0.1,139.936,4
spotify:track:2M3b3x617K11Jr8Wu032dW,"Super Powers (From ""One Piece"")","Super Powers (From ""One Piece"")","Miura Jam",2018-12-19,225488,38,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-17T15:11:59Z,"anime","Miura Jam",0.351,0.969,0,-2.53,1,0.306,0.0417,0.000751,0.0703,0.354,175.879,4
spotify:track:3TSe07q4ZTuJFrw6S4K8ij,"OVER THE TOP","OVER THE TOP","Hiroshi Kitadani",2019-09-25,301706,52,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"anime","avex pictures",0.566,0.972,8,-2.705,1,0.128,0.36,0,0.275,0.453,105.976,4
spotify:track:0tR0irjItyolEmKVLqyRc4,"DREAMIN' ON","DREAMIN' ON","Da-iCE",2020-08-26,235274,0,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"j-pop,anime","avex trax",0.397,0.937,0,-3.285,0,0.121,0.0106,0,0.15,0.474,169.975,4
spotify:track:0n099xB2P5c2ZLDazd3dgr,"PAINT","PAINT","I Don't Like Mondays.",2022-01-09,208405,51,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"j-r&b,j-pop,japanese indie,anime","rhythm zone",0.53,0.822,2,-3.299,1,0.0371,0.00823,0,0.242,0.513,147.025,4
spotify:track:2hXPmiqKdXcbV0L1VKnTDN,"最高到達点","最高到達点","SEKAI NO OWARI",2023-09-17,227469,62,false,317kmoidvs7xjhbf3wvuqd3r24g4,2023-12-16T15:08:20Z,"j-pop,anime","Universal Music LLC",0.647,0.959,6,-3.835,1,0.0477,0.0737,0,0.0683,0.807,132.002,4
spotify:track:3rki2mgXaUSL8av1syOWTB,"あーーっす！","あーーっす！","Hiroshi Kitadani",2024-01-08,197802,56,false,317kmoidvs7xjhbf3wvuqd3r24g4,2024-01-08T10:39:15Z,"anime","avex pictures",0.421,0.926,2,-9.03,1,0.129,0.00556,0.0000255,0.171,0.512,182.242,4
